date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:26:13	126/126	---MCZ	200	added ('OK')	text/plain	date:Thu,%2010%20Feb%202022%2008:52:23%20GMT	https://bluelaned.blogspot.com/robots.txt		(from )
00:26:14	54483/54483	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Feb%202022%2008:52:23%20GMT	https://bluelaned.blogspot.com/	C:/My%20Web%20Sites/blog/bluelaned.blogspot.com/index.html	(from )
00:26:14	1150/1150	---MCZ	200	added ('OK')	image/x-icon	date:Thu,%2010%20Feb%202022%2008:52:23%20GMT	https://bluelaned.blogspot.com/favicon.ico	C:/My%20Web%20Sites/blog/bluelaned.blogspot.com/favicon.ico	(from https://bluelaned.blogspot.com/)
00:26:16	1474/1474	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2010%20Feb%202022%2008:52:23%20GMT	https://bluelaned.blogspot.com/feeds/posts/default	C:/My%20Web%20Sites/blog/bluelaned.blogspot.com/feeds/posts/default	(from https://bluelaned.blogspot.com/)
00:26:17	840/840	---M-Z	200	added ('OK')	application/rss+xml	date:Thu,%2010%20Feb%202022%2008:52:23%20GMT	https://bluelaned.blogspot.com/feeds/posts/default?alt=rss	C:/My%20Web%20Sites/blog/bluelaned.blogspot.com/feeds/posts/default9522	(from https://bluelaned.blogspot.com/)
00:26:18	3725/3725	---M--	200	added ('OK')	image/png	etag:%22v76c%22	https://4.bp.blogspot.com/-O3EpVMWcoKw/WxY6-6I4--I/AAAAAAAAB2s/KzC0FqUQtkMdw7VzT6oOR_8vbZO6EJc-ACK4BGAYYCw/s1600/nth.png	C:/My%20Web%20Sites/blog/4.bp.blogspot.com/-O3EpVMWcoKw/WxY6-6I4--I/AAAAAAAAB2s/KzC0FqUQtkMdw7VzT6oOR_8vbZO6EJc-ACK4BGAYYCw/s1600/nth.png	(from https://bluelaned.blogspot.com/)
00:26:18	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/blog/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://bluelaned.blogspot.com/)
00:26:20	43/43	---M--	200	added ('OK')	image/gif	date:Tue,%2014%20Jun%202022%2009:51:53%20GMT	http://img1.blogblog.com/img/blank.gif	C:/My%20Web%20Sites/blog/img1.blogblog.com/img/blank.gif	(from https://bluelaned.blogspot.com/)
00:26:21	1783/1783	---M--	200	added ('OK')	image/png	etag:%22vd4c%22	http://4.bp.blogspot.com/-uCjYgVFIh70/VuOLn-mL7PI/AAAAAAAADUs/Kcu9wJbv790hIo83rI_s7lLW3zkLY01EA/s55-r/avatar.png	C:/My%20Web%20Sites/blog/4.bp.blogspot.com/-uCjYgVFIh70/VuOLn-mL7PI/AAAAAAAADUs/Kcu9wJbv790hIo83rI_s7lLW3zkLY01EA/s55-r/avatar.png	(from https://bluelaned.blogspot.com/)
00:26:21	15702/15702	---M--	200	added ('OK')	image/jpeg	etag:%22v169%22	http://1.bp.blogspot.com/-HD08cshV4J0/W3p0glgG3bI/AAAAAAAAAWg/g8veRtomnmEAJ6MzGTwQNF6-dqAamgVogCK4BGAYYCw/s1600/Fix.jpg	C:/My%20Web%20Sites/blog/1.bp.blogspot.com/-HD08cshV4J0/W3p0glgG3bI/AAAAAAAAAWg/g8veRtomnmEAJ6MzGTwQNF6-dqAamgVogCK4BGAYYCw/s1600/Fix.jpg	(from https://bluelaned.blogspot.com/)
00:26:23	3097/3097	---M-Z	200	added ('OK')	application/x-javascript	etag:%22de6076036f6a7054228b543aecdc81d2%22	https://connect.facebook.net/en_US/sdk.js	C:/My%20Web%20Sites/blog/connect.facebook.net/en_US/sdk.js	(from https://bluelaned.blogspot.com/)
00:26:23	49742/49742	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Jun%202022%2017:26:22%20GMT	https://bluelaned.blogspot.com/s35-c/	C:/My%20Web%20Sites/blog/bluelaned.blogspot.com/s35-c/index.html	(from https://bluelaned.blogspot.com/)
